weight,age,height,size
45,19,160.02,M
45,19,162.56,L
45,19,165.1,L
45,19,167.64,M
46,19,160.02,L
47,19,149.86,XL
47,19,157.48,L
47,19,160.02,M
47,19,162.56,M
47,19,165.1,M
47,19,167.64,S
48,19,157.48,M
48,19,160.02,S
48,19,165.1,S
48,19,172.72,S
49,19,154.94,M
49,19,157.48,L
49,19,160.02,L
49,19,162.56,S
49,19,165.1,L
49,19,167.64,M
49,19,170.18,S
49,19,172.72,M
49,19,175.26,M
50,19,162.56,M
51,19,154.94,M
51,19,160.02,S
51,19,162.56,M
51,19,165.1,L
52,19,152.4,M
52,19,154.94,XXS
52,19,157.48,M
52,19,160.02,M
52,19,162.56,M
52,19,165.1,M
52,19,167.64,S
52,19,170.18,S
52,19,172.72,XXS
53,19,144.78,M
53,19,157.48,M
53,19,160.02,M
53,19,162.56,XXS
53,19,167.64,S
53,19,170.18,M
54,19,152.4,M
54,19,157.48,M
54,19,160.02,M
54,19,162.56,S
54,19,165.1,M
54,19,167.64,M
54,19,170.18,M
54,19,172.72,L
55,19,154.94,L
55,19,157.48,M
55,19,162.56,M
55,19,170.18,M
56,19,154.94,M
56,19,157.48,M
56,19,160.02,L
56,19,162.56,L
56,19,165.1,L
56,19,167.64,M
56,19,170.18,L
56,19,172.72,L
56,19,175.26,M
56,19,180.34,XL
56,19,182.88,L
57,19,160.02,L
57,19,165.1,XL
57,19,167.64,M
58,19,144.78,M
58,19,152.4,S
58,19,154.94,L
58,19,157.48,M
58,19,160.02,M
58,19,162.56,L
58,19,165.1,XXXL
58,19,167.64,XXXL
58,19,170.18,XL
58,19,172.72,L
58,19,175.26,M
59,19,172.72,L
60,19,154.94,M
60,19,160.02,L
60,19,180.34,XL
61,19,160.02,XXXL
61,19,162.56,XL
61,19,165.1,L
61,19,167.64,XL
61,19,170.18,M
61,19,172.72,XXXL
61,19,175.26,XL
61,19,180.34,XL
61,19,160,XL
62,19,160.02,L
62,19,167.64,XXXL
62,19,170.18,L
63,19,160.02,XL
63,19,162.56,XL
63,19,165.1,XXXL
63,19,167.64,XXXL
63,19,170.18,XXL
63,19,172.72,XXXL
63,19,175.26,XXXL
63,19,180.34,L
64,19,165.1,XXXL
64,19,170.18,XL
64,19,172.72,XL
64,19,177.8,XL
65,19,160.02,XL
65,19,162.56,XXXL
65,19,165.1,XXXL
65,19,167.64,XXXL
65,19,170.18,XXXL
65,19,175.26,XXXL
65,19,180.34,XXXL
65,19,182,XXXL
65,19,160,XXXL
66,19,162.56,XXS
67,19,162.56,S
67,19,175.26,XXS
68,19,152.4,L
68,19,154.94,XXS
68,19,157.48,XXS
68,19,160.02,XXS
68,19,162.56,XXS
68,19,165.1,XXS
68,19,167.64,M
68,19,170.18,XXS
68,19,172.72,XXS
68,19,177.8,XXS
68,19,180.34,XXS
70,19,160.02,XXS
70,19,162.56,S
70,19,167.64,S
70,19,172.72,XXS
70,19,175.26,XXS
72,19,167.64,XXS
72,19,175.26,S
72,19,177.8,XXS
74,19,157.48,XXS
74,19,165.1,XXS
74,19,172.72,XXS
74,19,175.26,XXS
74,19,177.8,M
76,19,152.4,XXS
76,19,162.56,S
77,19,175.26,S
79,19,170.18,M
79,19,175.26,XXS
86,19,170.18,XXS
88,19,162.56,S
88,19,177.8,XXS
90,19,182.88,S
95,19,175.26,XXS
108,19,170.18,S
129,19,170.18,S
43,20,149.86,XXS
43,20,154.94,S
43,20,165.1,S
44,20,152.4,XXS
45,20,152.4,S
45,20,154.94,S
45,20,157.48,XXS
45,20,160.02,XXS
45,20,162.56,S
46,20,160.02,S
46,20,162.56,S
47,20,154.94,S
47,20,157.48,XXS
47,20,162.56,XXS
47,20,165.1,XXS
47,20,167.64,XXS
48,20,152.4,M
48,20,154.94,S
48,20,157.48,S
48,20,160.02,XXS
48,20,162.56,XXS
48,20,167.64,M
48,20,175.26,S
49,20,149.86,XXS
49,20,152.4,XXS
49,20,154.94,XXS
49,20,157.48,S
49,20,160.02,XXS
49,20,162.56,XXS
49,20,165.1,S
49,20,167.64,XXS
49,20,170.18,M
49,20,172.72,L
49,20,175.26,XXS
49,20,177.8,XXS
49,20,140,M
50,20,152.4,S
50,20,157.48,XXS
50,20,160.02,S
50,20,162.56,S
50,20,165.1,S
50,20,167.64,XXS
51,20,149.86,S
51,20,160.02,XXS
51,20,162.56,M
52,20,142.24,L
52,20,154.94,S
52,20,157.48,M
52,20,160.02,S
52,20,162.56,S
52,20,165.1,XXS
52,20,167.64,M
52,20,170.18,XXS
52,20,172.72,S
52,20,175.26,S
53,20,154.94,XL
53,20,157.48,M
53,20,162.56,S
53,20,165.1,S
53,20,172.72,M
54,20,147.32,S
54,20,152.4,S
54,20,154.94,XXS
54,20,157.48,S
54,20,160.02,S
54,20,162.56,S
54,20,165.1,XXXL
54,20,167.64,S
54,20,170.18,XXXL
54,20,172.72,S
54,20,175.26,XXS
54,20,177.8,L
54,20,150,S
55,20,160.02,S
55,20,162.56,S
55,20,172.72,XXS
56,20,154.94,XXS
56,20,157.48,S
56,20,160.02,XXS
56,20,162.56,S
56,20,165.1,S
56,20,167.64,M
56,20,170.18,S
56,20,172.72,M
56,20,175.26,XXS
56,20,177.8,S
57,20,152.4,S
57,20,157.48,M
57,20,160.02,XXS
57,20,162.56,M
57,20,165.1,XXS
57,20,170.18,XXS
57,20,172.72,XXS
57,20,182.88,S
58,20,152.4,S
58,20,154.94,S
58,20,157.48,M
58,20,160.02,XXS
58,20,162.56,S
58,20,165.1,XXS
58,20,167.64,M
58,20,170.18,M
58,20,172.72,XL
58,20,175.26,S
58,20,177.8,M
58,20,182.88,S
58,20,140,S
59,20,157.48,S
59,20,165.1,XXS
60,20,160.02,XXS
60,20,167.64,L
60,20,172.72,M
61,20,149.86,S
61,20,152.4,S
61,20,154.94,S
61,20,157.48,M
61,20,160.02,S
61,20,162.56,S
61,20,165.1,M
61,20,167.64,S
61,20,170.18,S
61,20,172.72,XXS
61,20,175.26,L
61,20,177.8,M
61,20,180.34,XXS
62,20,152.4,S
62,20,162.56,S
62,20,165.1,XXS
62,20,172.72,XXS
63,20,157.48,M
63,20,160.02,S
63,20,162.56,M
63,20,165.1,S
63,20,167.64,S
63,20,170.18,M
63,20,172.72,S
63,20,175.26,S
63,20,177.8,M
63,20,180.34,S
64,20,170.18,S
64,20,172.72,S
64,20,175.26,XXS
64,20,182.88,M
65,20,154.94,S
65,20,157.48,M
65,20,160.02,L
65,20,165.1,M
65,20,167.64,XXXL
65,20,170.18,M
65,20,172.72,M
65,20,177.8,M
66,20,165.1,L
67,20,172.72,L
68,20,154.94,M
68,20,157.48,S
68,20,162.56,L
68,20,167.64,L
68,20,170.18,M
68,20,172.72,L
68,20,175.26,M
68,20,177.8,M
68,20,180.34,S
68,20,182.88,L
69,20,175.26,M
70,20,154.94,S
70,20,160.02,S
70,20,170.18,S
70,20,175.26,M
70,20,177.8,S
70,20,180.34,M
71,20,177.8,M
72,20,162.56,M
72,20,165.1,M
72,20,167.64,M
72,20,170.18,M
72,20,172.72,S
72,20,175.26,M
72,20,177.8,M
72,20,180.34,M
72,20,182.88,M
72,20,185.42,S
73,20,167.64,M
74,20,167.64,M
74,20,170.18,M
74,20,175.26,L
74,20,180.34,S
74,20,182.88,L
75,20,170.18,M
77,20,157.48,M
77,20,167.64,L
77,20,175.26,M
77,20,177.8,L
77,20,180.34,M
77,20,187.96,L
81,20,167.64,M
81,20,175.26,XL
83,20,177.8,M
84,20,167.64,M
86,20,162.56,L
86,20,165.1,XL
86,20,167.64,S
86,20,182.88,S
87,20,167.64,M
88,20,152.4,M
95,20,160.02,M
102,20,170.18,M
102,20,172.72,M
36,21,157.48,L
41,21,149.86,S
42,21,154.94,S
43,21,147.32,L
43,21,149.86,L
43,21,152.4,M
43,21,157.48,L
43,21,162.56,M
45,21,149.86,XL
45,21,152.4,XXXL
45,21,154.94,L
45,21,157.48,L
45,21,160.02,M
45,21,162.56,XL
45,21,165.1,L
45,21,170.18,L
46,21,154.94,M
46,21,160.02,M
46,21,162.56,L
47,21,154.94,L
47,21,157.48,L
47,21,160.02,M
47,21,162.56,L
47,21,167.64,XL
47,21,172.72,XL
48,21,154.94,M
48,21,157.48,L
48,21,160.02,M
48,21,162.56,L
48,21,167.64,L
48,21,170.18,L
48,21,172.72,L
49,21,152.4,M
49,21,154.94,L
49,21,157.48,M
49,21,160.02,XL
49,21,162.56,M
49,21,165.1,L
49,21,167.64,L
49,21,170.18,L
49,21,150,L
49,21,160,L
50,21,165.1,XXXL
50,21,170.18,L
51,21,157.48,L
51,21,162.56,XXL
51,21,167.64,M
51,21,175.26,XL
52,21,149.86,L
52,21,154.94,XL
52,21,157.48,M
52,21,160.02,M
52,21,162.56,XL
52,21,165.1,XL
52,21,167.64,XXXL
52,21,170.18,XL
52,21,172.72,XL
52,21,175.26,XXXL
52,21,177.8,XL
53,21,152.4,XL
53,21,154.94,M
53,21,157.48,L
53,21,160.02,XL
53,21,162.56,XL
53,21,165.1,XL
53,21,167.64,XL
53,21,170.18,L
53,21,172.72,XXXL
54,21,152.4,XXXL
54,21,154.94,XXXL
54,21,157.48,XL
54,21,160.02,XXXL
54,21,162.56,XL
54,21,165.1,L
54,21,167.64,XL
54,21,170.18,XL
54,21,172.72,XL
54,21,175.26,XXXL
54,21,177.8,M
55,21,149.86,XXXL
55,21,160.02,XXXL
55,21,162.56,L
55,21,165.1,L
55,21,170.18,XL
56,21,152.4,L
56,21,154.94,XL
56,21,157.48,M
56,21,160.02,XXXL
56,21,162.56,XXXL
56,21,165.1,M
56,21,167.64,L
56,21,170.18,XL
56,21,172.72,L
56,21,175.26,M
56,21,177.8,XXXL
56,21,180.34,L
56,21,150,L
57,21,149.86,XL
57,21,157.48,L
57,21,162.56,XXXL
57,21,167.64,XL
57,21,177.8,XL
58,21,152.4,XL
58,21,154.94,XXXL
58,21,157.48,XXXL
58,21,160.02,XL
58,21,162.56,XXXL
58,21,165.1,XXXL
58,21,167.64,XXXL
58,21,170.18,XXXL
58,21,172.72,XXXL
58,21,175.26,XXXL
58,21,180.34,XXXL
58,21,182.88,XXXL
59,21,160.02,XXXL
59,21,162.56,XXXL
59,21,167.64,XXXL
59,21,170.18,XXXL
60,21,157.48,XXXL
60,21,165.1,S
61,21,157.48,XXS
61,21,160.02,XXS
61,21,162.56,XXS
61,21,165.1,XXS
61,21,167.64,XXS
61,21,170.18,S
61,21,172.72,L
61,21,175.26,L
61,21,177.8,XXS
61,21,180.34,S
62,21,154.94,XXS
62,21,157.48,XXS
62,21,162.56,XXS
62,21,167.64,XXS
62,21,170.18,XXS
62,21,172.72,XXS
63,21,154.94,S
63,21,157.48,S
63,21,160.02,S
63,21,162.56,XXS
63,21,165.1,S
63,21,167.64,XXS
63,21,170.18,XXS
63,21,172.72,XXS
63,21,175.26,XXS
63,21,177.8,XXS
63,21,180.34,XXS
64,21,157.48,S
64,21,165.1,XXS
64,21,170.18,S
65,21,152.4,XXS
65,21,160.02,XXS
65,21,162.56,XXS
65,21,165.1,XXS
65,21,167.64,S
65,21,170.18,S
65,21,172.72,S
65,21,175.26,M
65,21,177.8,XXS
65,21,180.34,M
66,21,162.56,M
66,21,165.1,XXS
66,21,177.8,S
67,21,162.56,XXS
67,21,167.64,S
67,21,172.72,XXS
67,21,175.26,XXS
68,21,149.86,XXS
68,21,157.48,L
68,21,160.02,XXS
68,21,162.56,XXS
68,21,165.1,XXS
68,21,167.64,XXS
68,21,170.18,S
68,21,172.72,S
68,21,175.26,M
68,21,177.8,XXS
68,21,182.88,XXS
69,21,167.64,XXS
69,21,170.18,XXS
69,21,177.8,XXS
70,21,152.4,S
70,21,157.48,S
70,21,160.02,M
70,21,165.1,M
70,21,167.64,XXS
70,21,170.18,S
70,21,172.72,S
70,21,175.26,S
70,21,177.8,XXS
70,21,180.34,S
70,21,182.88,S
71,21,165.1,S
71,21,170.18,S
71,21,175.26,XXS
72,21,152.4,XXS
72,21,154.94,S
72,21,160.02,S
72,21,165.1,S
72,21,167.64,XXS
72,21,170.18,XXS
72,21,172.72,XXS
72,21,175.26,XXS
72,21,177.8,XXS
72,21,182.88,S
73,21,177.8,S
74,21,162.56,S
74,21,165.1,S
74,21,167.64,S
74,21,170.18,M
77,21,157.48,S
77,21,165.1,XXS
77,21,167.64,S
77,21,172.72,S
77,21,175.26,S
77,21,177.8,XXS
77,21,190.5,S
78,21,160.02,XXS
78,21,162.56,XXS
78,21,165.1,XXS
79,21,165.1,XXS
79,21,167.64,XXS
79,21,170.18,XXS
81,21,165.1,S
81,21,167.64,S
81,21,170.18,XXS
81,21,172.72,S
81,21,175.26,XXS
81,21,177.8,XXXL
81,21,180.34,M
83,21,162.56,XXS
83,21,165.1,XXS
83,21,170.18,S
83,21,175.26,M
83,21,177.8,XXS
86,21,157.48,S
86,21,167.64,S
86,21,175.26,XXS
87,21,170.18,S
88,21,175.26,XXS
88,21,180.34,S
90,21,162.56,XXS
90,21,167.64,S
90,21,170.18,S
92,21,175.26,S
99,21,167.64,S
108,21,162.56,S
126,21,167.64,XXS
35,22,182.88,S
41,22,154.94,XXS
42,22,152.4,XXS
43,22,149.86,XXS
43,22,152.4,XXS
43,22,154.94,S
43,22,157.48,XXS
43,22,160.02,S
44,22,149.86,XXS
45,22,149.86,S
45,22,152.4,XXS
45,22,154.94,S
45,22,157.48,S
45,22,160.02,S
45,22,162.56,S
45,22,165.1,S
46,22,154.94,S
46,22,157.48,S
46,22,160.02,S
47,22,149.86,S
47,22,152.4,XXS
47,22,154.94,M
47,22,157.48,M
47,22,160.02,M
47,22,162.56,XXS
47,22,165.1,S
47,22,170.18,M
47,22,172.72,M
48,22,154.94,S
48,22,157.48,XXS
48,22,160.02,S
48,22,162.56,M
48,22,170.18,S
49,22,149.86,S
49,22,152.4,L
49,22,154.94,XXS
49,22,157.48,M
49,22,160.02,L
49,22,162.56,M
49,22,165.1,XL
49,22,167.64,M
49,22,170.18,M
49,22,172.72,S
49,22,175.26,M
49,22,177.8,S
50,22,152.4,XXS
50,22,154.94,M
50,22,157.48,S
50,22,162.56,S
50,22,167.64,XXS
50,22,155,M
51,22,152.4,S
51,22,157.48,S
51,22,160.02,S
51,22,162.56,XXS
51,22,165.1,M
51,22,167.64,XXS
51,22,170.18,M
51,22,172.72,S
52,22,152.4,S
52,22,154.94,S
52,22,157.48,XXS
52,22,160.02,L
52,22,162.56,S
52,22,165.1,XXS
52,22,167.64,M
52,22,170.18,M
52,22,172.72,S
53,22,152.4,XL
53,22,154.94,XXS
53,22,157.48,S
53,22,160.02,M
53,22,162.56,XXS
53,22,165.1,L
53,22,167.64,M
54,22,149.86,XXS
54,22,154.94,XXS
54,22,157.48,S
54,22,160.02,S
54,22,162.56,S
54,22,165.1,M
54,22,167.64,S
54,22,170.18,S
54,22,172.72,S
54,22,175.26,M
54,22,177.8,XXS
54,22,180.34,S
55,22,157.48,XXS
55,22,160.02,XXS
55,22,162.56,S
55,22,165.1,S
55,22,167.64,S
55,22,170.18,S
56,22,149.86,S
56,22,154.94,S
56,22,157.48,XXS
56,22,160.02,XXS
56,22,162.56,L
56,22,165.1,S
56,22,167.64,S
56,22,170.18,XXS
56,22,172.72,M
56,22,175.26,M
57,22,154.94,M
57,22,162.56,M
57,22,165.1,S
57,22,170.18,M
57,22,150,S
58,22,152.4,S
58,22,154.94,L
58,22,157.48,S
58,22,160.02,S
58,22,162.56,XXS
58,22,165.1,S
58,22,167.64,S
58,22,170.18,S
58,22,172.72,XXS
58,22,175.26,M
58,22,177.8,M
58,22,180.34,S
58,22,182.88,L
59,22,160.02,L
59,22,162.56,S
59,22,165.1,M
59,22,170.18,XXS
59,22,172.72,XXS
60,22,160.02,M
60,22,162.56,S
60,22,165.1,S
60,22,167.64,S
60,22,170.18,M
60,22,172.72,S
61,22,154.94,L
61,22,157.48,XXS
61,22,160.02,S
61,22,162.56,M
61,22,165.1,S
61,22,167.64,S
61,22,170.18,XXS
61,22,172.72,XXS
61,22,175.26,S
61,22,177.8,XL
62,22,154.94,S
62,22,165.1,S
62,22,170.18,S
62,22,172.72,S
63,22,152.4,M
63,22,154.94,S
63,22,157.48,L
63,22,160.02,S
63,22,162.56,L
63,22,165.1,L
63,22,167.64,S
63,22,170.18,S
63,22,172.72,S
63,22,175.26,S
63,22,177.8,M
63,22,180.34,S
63,22,182.88,S
64,22,160.02,XXS
64,22,167.64,XXS
64,22,170.18,S
64,22,172.72,XL
64,22,177.8,M
65,22,154.94,S
65,22,162.56,S
65,22,165.1,S
65,22,167.64,S
65,22,170.18,S
65,22,172.72,M
65,22,175.26,S
65,22,177.8,XXS
65,22,185.42,S
66,22,170.18,S
68,22,137.16,S
68,22,144.78,M
68,22,152.4,XXS
68,22,157.48,M
68,22,160.02,M
68,22,162.56,XXS
68,22,165.1,XL
68,22,167.64,M
68,22,170.18,M
68,22,172.72,M
68,22,175.26,M
68,22,177.8,S
68,22,180.34,M
68,22,182.88,S
69,22,162.56,S
69,22,167.64,XL
70,22,157.48,XL
70,22,160.02,S
70,22,162.56,M
70,22,165.1,M
70,22,167.64,XL
70,22,170.18,M
70,22,172.72,M
70,22,175.26,M
70,22,177.8,XXS
70,22,180.34,M
70,22,182.88,L
72,22,162.56,M
72,22,165.1,M
72,22,167.64,M
72,22,170.18,M
72,22,172.72,S
72,22,175.26,M
72,22,177.8,M
72,22,180.34,L
73,22,170.18,XL
74,22,162.56,L
74,22,165.1,S
74,22,167.64,S
74,22,170.18,L
74,22,172.72,S
74,22,175.26,S
74,22,177.8,L
74,22,180.34,S
76,22,170.18,M
77,22,160.02,M
77,22,162.56,M
77,22,165.1,M
77,22,170.18,M
77,22,172.72,M
77,22,175.26,L
77,22,177.8,M
77,22,180.34,M
77,22,182.88,M
78,22,165.1,M
78,22,170.18,L
78,22,172.72,S
79,22,154.94,M
79,22,165.1,S
79,22,170.18,M
79,22,180.34,M
79,22,182.88,M
79,22,185.42,S
80,22,160.02,M
81,22,162.56,M
81,22,167.64,S
81,22,170.18,M
81,22,175.26,S
81,22,180.34,S
81,22,185.42,XXS
81,22,190.5,S
83,22,162.56,M
83,22,165.1,S
83,22,167.64,S
83,22,177.8,M
83,22,182.88,M
86,22,160.02,M
86,22,165.1,M
86,22,167.64,L
86,22,180.34,S
88,22,162.56,M
90,22,162.56,M
90,22,175.26,M
92,22,167.64,S
93,22,148,XXS
99,22,175.26,S
99,22,177.8,L
43,23,147.32,M
43,23,152.4,L
43,23,157.48,XXXL
43,23,165.1,S
43,23,167.64,XL
44,23,152.4,M
44,23,154.94,M
44,23,160.02,M
45,23,152.4,L
45,23,154.94,L
45,23,157.48,L
45,23,160.02,L
45,23,162.56,M
45,23,165.1,M
46,23,152.4,XL
46,23,157.48,M
46,23,160.02,M
47,23,147.32,M
47,23,152.4,L
47,23,154.94,L
47,23,157.48,M
47,23,160.02,L
47,23,162.56,M
47,23,165.1,M
47,23,167.64,S
47,23,170.18,L
48,23,152.4,M
48,23,154.94,M
48,23,157.48,M
48,23,160.02,M
48,23,162.56,M
48,23,165.1,M
48,23,167.64,M
49,23,152.4,M
49,23,154.94,M
49,23,157.48,S
49,23,160.02,M
49,23,162.56,M
49,23,165.1,L
49,23,167.64,XXXL
49,23,170.18,M
49,23,172.72,M
49,23,150,M
50,23,149.86,M
50,23,157.48,L
50,23,160.02,S
50,23,162.56,M
50,23,165.1,M
51,23,154.94,L
51,23,160.02,L
51,23,162.56,S
51,23,165.1,M
51,23,167.64,M
51,23,170.18,L
51,23,177.8,L
52,23,152.4,L
52,23,154.94,S
52,23,157.48,M
52,23,160.02,L
52,23,162.56,L
52,23,165.1,M
52,23,167.64,XL
52,23,170.18,L
52,23,172.72,XL
52,23,175.26,L
52,23,177.8,M
53,23,152.4,L
53,23,154.94,XXXL
53,23,157.48,L
53,23,160.02,XL
53,23,162.56,S
53,23,165.1,XL
53,23,167.64,XXXL
53,23,170.18,L
54,23,149.86,M
54,23,152.4,M
54,23,154.94,M
54,23,157.48,L
54,23,160.02,XL
54,23,162.56,XL
54,23,165.1,L
54,23,167.64,XL
54,23,170.18,XL
54,23,172.72,L
54,23,175.26,XL
54,23,177.8,L
55,23,160.02,M
55,23,162.56,XL
55,23,165.1,XL
55,23,170.18,XL
55,23,172.72,XL
56,23,149.86,L
56,23,152.4,L
56,23,154.94,M
56,23,157.48,L
56,23,160.02,M
56,23,162.56,M
56,23,165.1,M
56,23,167.64,L
56,23,170.18,L
56,23,172.72,M
56,23,175.26,XL
56,23,177.8,M
57,23,154.94,XL
57,23,157.48,L
57,23,160.02,L
57,23,162.56,M
57,23,165.1,M
57,23,167.64,M
57,23,170.18,M
57,23,177.8,S
58,23,149.86,XL
58,23,152.4,L
58,23,154.94,XL
58,23,157.48,L
58,23,160.02,S
58,23,162.56,M
58,23,165.1,M
58,23,167.64,M
58,23,170.18,L
58,23,172.72,M
58,23,175.26,M
58,23,177.8,M
58,23,180.34,M
59,23,160.02,M
59,23,162.56,L
59,23,165.1,M
59,23,167.64,XL
59,23,175.26,XL
60,23,157.48,XL
60,23,160.02,L
60,23,162.56,L
60,23,165.1,XL
60,23,167.64,L
60,23,170.18,XXXL
60,23,172.72,L
61,23,149.86,XXXL
61,23,152.4,L
61,23,154.94,L
61,23,157.48,M
61,23,160.02,XXXL
61,23,162.56,L
61,23,165.1,M
61,23,167.64,M
61,23,170.18,L
61,23,172.72,M
61,23,175.26,S
61,23,177.8,L
61,23,180.34,M
61,23,182.88,XXXL
61,23,150,XXXL
62,23,157.48,S
62,23,160.02,XXXL
62,23,165.1,XL
62,23,167.64,XXXL
62,23,172.72,L
62,23,175.26,XL
63,23,152.4,XXXL
63,23,154.94,XXXL
63,23,157.48,L
63,23,160.02,L
63,23,162.56,M
63,23,165.1,XXXL
63,23,167.64,L
63,23,170.18,XXXL
63,23,172.72,XXXL
63,23,175.26,L
63,23,177.8,XL
63,23,180.34,XL
64,23,157.48,XXXL
64,23,162.56,XL
64,23,165.1,M
64,23,167.64,L
64,23,170.18,XL
64,23,172.72,M
64,23,175.26,L
65,23,152.4,L
65,23,157.48,XL
65,23,160.02,XL
65,23,162.56,M
65,23,165.1,XL
65,23,167.64,XL
65,23,170.18,XXXL
65,23,172.72,XXXL
65,23,175.26,XXXL
65,23,177.8,XL
65,23,180.34,L
65,23,182.88,XL
66,23,162.56,XXXL
66,23,175.26,XL
67,23,162.56,XL
67,23,165.1,XXXL
67,23,172.72,XL
67,23,177.8,M
68,23,157.48,L
68,23,160.02,XXXL
68,23,162.56,XXXL
68,23,165.1,L
68,23,167.64,L
68,23,170.18,XXXL
68,23,172.72,XL
68,23,175.26,XL
68,23,177.8,XL
68,23,182.88,L
69,23,167.64,XL
70,23,147.32,L
70,23,152.4,XL
70,23,154.94,L
70,23,160.02,XL
70,23,162.56,XXXL
70,23,165.1,XXXL
70,23,167.64,XXXL
70,23,170.18,XXXL
70,23,172.72,XXXL
70,23,175.26,XXXL
70,23,177.8,XXXL
70,23,180.34,XL
70,23,182.88,XXXL
71,23,160.02,XXXL
71,23,162.56,XXXL
71,23,167.64,L
71,23,170.18,XL
72,23,152.4,XL
72,23,154.94,XXXL
72,23,157.48,XXXL
72,23,160.02,XXXL
72,23,162.56,XXXL
72,23,165.1,XL
72,23,167.64,XXXL
72,23,170.18,XXXL
72,23,175.26,XXXL
72,23,177.8,XXXL
72,23,180.34,XXXL
72,23,182.88,XXXL
72,23,185.42,L
73,23,175.26,XXXL
74,23,157.48,XXXL
74,23,160.02,XXXL
74,23,167.64,XXXL
74,23,172.72,XXXL
74,23,175.26,XXXL
74,23,177.8,XXXL
74,23,180.34,XXXL
74,23,182.88,XXXL
75,23,165.1,XXXL
75,23,180.34,XXXL
77,23,154.94,XXXL
77,23,160.02,XXXL
77,23,162.56,XXXL
77,23,167.64,XXXL
77,23,170.18,XXXL
77,23,172.72,XXS
77,23,175.26,S
77,23,177.8,XXS
77,23,180.34,S
77,23,185.42,XXS
78,23,177.8,XXS
79,23,160.02,XXS
79,23,165.1,XXS
79,23,175.26,XXS
79,23,177.8,XXS
79,23,180.34,XXS
81,23,160.02,XXS
81,23,162.56,XXS
81,23,165.1,XXS
81,23,167.64,XXS
81,23,170.18,XXS
81,23,172.72,XXS
81,23,175.26,XXS
81,23,180.34,S
81,23,182.88,XXS
83,23,160.02,XXS
83,23,167.64,XXS
83,23,170.18,XXS
83,23,175.26,XXS
86,23,162.56,XXS
86,23,167.64,XXS
86,23,170.18,S
86,23,175.26,XXS
86,23,177.8,XXS
86,23,180.34,XXS
86,23,185.42,XXS
87,23,170.18,XXS
88,23,157.48,XXS
88,23,175.26,XXS
90,23,167.64,XXS
90,23,172.72,XXS
92,23,160.02,S
92,23,170.18,XXS
92,23,182.88,XXS
92,23,187.96,XXS
95,23,162.56,S
104,23,177.8,XXS
106,23,162.56,XXS
39,24,160.02,S
41,24,149.86,S
42,24,152.4,XXS
43,24,152.4,S
43,24,157.48,XXS
43,24,160.02,S
45,24,149.86,XXS
45,24,152.4,XXS
45,24,154.94,XXS
45,24,157.48,S
45,24,160.02,XXS
45,24,162.56,XXS
45,24,165.1,S
46,24,154.94,XXS
